Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,Partisan Lean,Primary %,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Party Support?,District_Num
Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,2.02,42.970001,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,25
Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,2.02,5.54,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,25
Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,2.99,20.440001000000002,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
Gil Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,2.99,43.23,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,39
Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,2.99,9.4200001,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
Mai Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,2.99,11.69,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
Sam Jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,2.99,11.98,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
Suzi Park Leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,2.99,3.24,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,39
Jessica Morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,-18.16,49.099998,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Regina Bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,-18.16,30.07,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Robert Lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,-18.16,5.25,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Roza Calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,-18.16,15.57,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4
Julia Peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,-15.31,76.019997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,42
Norman Quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,-15.31,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,42
Brian Forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,-1.4299998999999999,13.06,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,45
Dave Min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,-1.4299998999999999,38.740002000000004,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,45
Katie Porter,CA,U.S. House California District 45,Representative,Regular,6/5/18,Advanced,None,-1.4299998999999999,44.040001000000004,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,45
Kia Hamadanchy,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,-1.4299998999999999,4.150000100000001,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,45
Deanie Schaarsmith,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,1.79,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Hans Keirstead,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,37.439999,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Harley Rouda,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,-4.1799998,37.599998,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,48
Laura Oatman,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,3.01,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Michael Kotick,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,3.26,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Omar Siddiqui,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,10.81,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Rachel Payne,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,4.4899998,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Tony Zarkades,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,-4.1799998,1.6,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,48
Douglas Applegate,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,1.42,25.76,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49
Mike Levin,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,1.42,34.400002,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,49
Paul Kerr,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,1.42,8.75,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49
Sara Jacobs,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,1.42,31.09,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0,D,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,49
